FatalityId,Circumstances,DogClassification
356,The specific details about the dog’s background or ownership are not provided.,Unknown
357,The background or ownership of the dog involved is not specified.,Unknown
358,"The puppy was a wedding gift, but its status as a stray or family pet is not detailed.",Unknown
359,"The dog was still at large, with no details on whether it was a stray or family pet.",Unknown
360,The dogs involved were not identified as family or stray dogs.,Unknown
361,"The dogs were guard dogs, but their ownership and background are not specified.",Unknown
362,"The dogs were found and killed by police, but their ownership and background are not detailed.",Unknown
363,The dog was a working dog on a family vacation farm.,Family Dog
364,The dog was a stray that had attacked multiple children previously.,Stray Dog
365,"The dogs were part of a pack that escaped, but their specific ownership status is not provided.",Unknown
366,The woman’s pet dogs were involved in the attack.,Family Dog
367,"The attack involved a pack of dogs, but there’s no specific information about whether they were strays or family pets.",Unknown
368,The dog was a pet of the victim's grandparents.,Family Dog
369,"The dog was chained in the backyard of the neighbor's duplex, indicating it was likely a family dog.",Family Dog
370,The dog was a pet of the victim.,Family Dog
371,"The dogs involved were neighbor's dogs, but specific details about their ownership status are not provided.",Not Family
372,The dog was a family pet.,Family Dog
373,The dog was the family pet.,Family Dog
374,The dog was the family pet.,Family Dog
375,The dog was a family pet.,Family Dog
376,No specific details about the dogs’ ownership or background are provided.,Unknown
377,"The dogs were the friend’s family pets, but the exact relationship to the victim is less clear.",Not Family
378,The dogs involved were the victim’s pets.,Family Dog
379,"The dog involved was a neighbor's, but its background or ownership status is not provided.",Unknown
380,"The dogs involved were neighbor's dogs, but their status as family or stray dogs is not detailed.",Unknown
381,"The dogs were guard dogs usually kept enclosed, but the attack involved a break in their containment.",Not Family
382,"The dogs were the victim’s son's, living in the household.",Family Dog
383,"The dog was a neighbor’s pet, but its status as a family pet or stray is not detailed.",Not Family
384,"The chained dog was owned by Michael Barry, the owner was charged with involuntary manslaughter.",Family Dog
385,The dogs involved were the neighbor's pets.,Not Family
386,"The dogs involved were owned by the dogs' owner, but specific details about their status as family or stray are not provided.",Not Family
387,The dogs were the homeowner's pets.,Family Dog
388,"The dogs were loose, but their ownership or background is not detailed.",Unknown
389,The dogs were not specified as family or stray; they were left loose by the owner.,Unknown
390,The dogs were staying with the neighbor and were not identified as family pets.,Not Family
391,The dog was adopted shortly before the attack and its previous background is not specified.,Unknown
392,The dogs were neighbors' and were running free.,Not Family
393,The dog was a family pet that was chained.,Family Dog
394,"The dogs were the daughter’s pets, though there was a claim they were strays which was disproven.",Family Dog
395,The dogs involved were the victim's pets.,Family Dog
396,The dog was a family pet.,Family Dog
